OverallStatus,Status,Hiretype,RecruiterGPN,Title,Age,Original State,PinCode,Source,Department,IT,Joining Center,Facility,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided,ExpectedJoiningDate,ActualJoiningDate,Target,dum_hiretype,dum_rec,dum_title,date,date1,dum_State,dum_Source,dum_Department,dum_Joining_Center,dum_Rank,dummy_IsRotationalShift,dum_Qual,joiningmonth
OfferDeclined,OfferDeclined,Re hire,XE020M36003,0,22.63287671,Karnataka,560017,CAMPUS,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,06-08-2018,NA,0,2,6,NA,16-10-2019,16-10-2019 05:30,1,4,4,1,1,0,2,8
Joined,OfferAccepted,New Employee,XE020M36003,0,25.39452055,Karnataka,591302,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,MBA,0,0,1,0,0,0,1,0,01-10-2018,01-10-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,2,1,1,0,3,10
Joined,OfferAccepted,New Employee,XE020M36003,1,23.23561644,Jharkhand,828111,CAMPUS,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,9,4,1,1,1,0,2,7
Joined,OfferAccepted,New Employee,XE020M36003,1,22.58356164,Tamil Nadu,641006,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,01-10-2018,01-10-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,2,4,2,1,1,0,2,10
Joined,OfferAccepted,New Employee,XE020M36003,1,22.17260274,Kerala,686101,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,01-10-2018,01-10-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,3,4,2,1,1,0,2,10
Joined,OfferAccepted,New Employee,XE020M36003,1,23.94794521,Uttarakhand,244713,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,1,0,0,0,1,0,01-10-2018,01-10-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,9,4,2,1,1,0,1,10
Joined,OfferAccepted,New Employee,XE020M36003,0,24.60547945,Karnataka,560002,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,1,0,0,0,1,0,01-10-2018,01-10-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,2,1,1,0,1,10
Joined,OfferAccepted,New Employee,XE020M36003,0,23.98356164,Karnataka,560024,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,MBA,0,0,1,0,0,0,1,0,01-10-2018,01-10-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,2,1,1,0,3,10
Joined,OfferAccepted,New Employee,XE020M42382,0,26.37260274,Telangana,500006,EMPLOYEE REFERRAL,Indirect,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,1,0,0.51,0,0,0,1,0,06-08-2018,06-08-2018,1,1,2,NA,16-10-2019,16-10-2019 05:30,9,1,5,1,2,0,2,8
OfferDeclined,OfferDeclined,New Employee,XE020M36003,0,21.87671233,Tamil Nadu,643001,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,09-07-2018,NA,0,1,6,NA,16-10-2019,16-10-2019 05:30,2,4,2,1,1,0,2,7
Joined,OfferAccepted,New Employee,XE020M36003,0,24.15616438,Tamil Nadu,600026,CAMPUS,PAS,0,Chennai,CHN DLF/EYLLP/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,09-07-2018,09-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,2,4,2,3,1,0,2,7
Joined,OfferAccepted,New Employee,XE020M36003,1,23.97260274,Kerala,678671,CAMPUS,PAS,0,Chennai,CHN DLF/EYLLP/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,1,0,0,0,1,0,09-07-2018,09-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,3,4,2,3,1,0,1,7
Joined,OfferAccepted,New Employee,XE020M36003,1,24.57534247,Gujarat,390019,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,1,0,0,0,1,0,09-07-2018,09-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,9,4,2,1,1,0,1,7
Joined,OfferAccepted,New Employee,XE020M32824,1,27.49041096,Karnataka,560042,EMPLOYEE REFERRAL,PCS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,MBA,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,1,3,NA,16-10-2019,16-10-2019 05:30,1,1,8,1,1,0,3,7
Joined,OfferAccepted,New Employee,XE020M39949,0,23.73424658,Karnataka,560095,EMPLOYEE REFERRAL,Indirect,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,30-07-2018,30-07-2018,1,1,4,NA,16-10-2019,16-10-2019 05:30,1,1,5,1,1,0,2,7
